Customer_ID,Age,Gender,Region,Income_Range,Account_Tenure_Years,Transaction_ID,Transaction_Date,Transaction_Amount,Merchant_Category,Payment_Status,Payment_Method,Credit_Limit,Current_Balance,Reward_Points_Earned,Reward_Points_Redeemed,Risk_Flag
CUST100027,39.0,Male,Ohio,Medium,13,TXN500027,2023-11-15,792.0,Retail,Paid,Bank Transfer,53825.0,71396.0,109,1859,Medium
CUST100028,61.0,Male,Florida,Medium,3,TXN500028,2023-01-17,1574.0,Utilities,Paid,Bank Transfer,91979.0,71383.0,3517,1326,Medium
CUST100029,42.0,Female,Ohio,Low,1,TXN500029,2022-07-03,4188.0,Food,Paid,Debit Card,90554.0,28420.0,1238,217,Low
CUST100030,66.0,Female,Washington,Medium,12,TXN500030,2022-03-02,1493.0,Online Shopping,Paid,Debit Card,12760.0,18683.0,186,583,Medium
CUST100031,44.0,Female,Oregon,Low,8,TXN500031,2022-07-08,2262.0,Travel,Paid,Debit Card,79150.0,21098.0,172,3573,Low
CUST100032,59.0,Female,Ohio,Medium,1,TXN500032,2023-03-05,2725.0,Health,Defaulted,Credit Card,6170.0,23770.0,3507,1500,Low
CUST100033,45.0,Female,Georgia,Medium,4,TXN500033,2023-03-28,,Retail,Paid,Bank Transfer,56506.0,56039.0,4846,1711,Medium
CUST100034,33.0,Female,California,Medium,9,TXN500034,2022-08-06,276.0,Retail,Paid,Debit Card,44277.0,31876.0,2203,3044,Low
CUST100035,32.0,Male,Florida,Low,8,TXN500035,2023-06-20,437.0,Entertainment,Paid,Debit Card,63241.0,40658.0,3507,25,Low
CUST100036,64.0,Female,Florida,Medium,11,TXN500036,2023-02-01,172.0,Groceries,Defaulted,Bank Transfer,44257.0,21559.0,3887,1331,Medium
CUST100037,68.0,Male,Oregon,Medium,3,TXN500037,2023-09-12,316.0,Groceries,Paid,Bank Transfer,15096.0,7205.0,2838,2843,Low
CUST100038,61.0,Female,Ohio,Low,3,TXN500038,2022-10-16,4199.0,Entertainment,Paid,UPI,38370.0,10813.0,1057,2760,Low
CUST100039,69.0,Female,Washington,Medium,7,TXN500039,2022-11-18,4973.0,Online Shopping,Late,UPI,64626.0,44259.0,4969,292,Medium
CUST100040,20.0,Male,Arizona,Medium,12,TXN500040,2022-08-30,116.0,Retail,Paid,Credit Card,50874.0,6331.0,4688,3942,High
CUST100041,54.0,Male,Georgia,High,3,TXN500041,2022-10-03,1410.0,Entertainment,Paid,Debit Card,43355.0,47562.0,2113,2737,Medium
CUST100042,68.0,Female,California,High,10,TXN500042,2022-12-29,1999.0,Groceries,Paid,Credit Card,17581.0,9226.0,2839,2996,Low
CUST100043,24.0,Male,Illinois,Low,9,TXN500043,2023-11-28,217.0,Groceries,Paid,Bank Transfer,89294.0,74035.0,4632,3542,Low
CUST100044,38.0,Female,Oregon,High,10,TXN500044,2022-08-02,4077.0,Health,Paid,Debit Card,33992.0,75371.0,4985,7,Low
CUST100045,26.0,Male,Arizona,Medium,7,TXN500045,2023-06-07,1793.0,Food,Paid,Credit Card,13903.0,65830.0,722,821,Low
CUST100046,56.0,Female,Arizona,Low,8,TXN500046,2023-08-09,3074.0,Travel,Defaulted,Credit Card,10517.0,54401.0,681,1972,High
CUST100047,35.0,Male,Ohio,High,6,TXN500047,2023-02-02,1908.0,Health,Paid,UPI,87069.0,44391.0,3233,2190,Low
CUST100048,21.0,Female,Oregon,Medium,10,TXN500048,2023-04-23,3338.0,Groceries,Paid,UPI,87048.0,163.0,1748,2808,Low
CUST100049,42.0,Male,Oregon,Medium,3,TXN500049,2022-08-07,429.0,Food,Late,UPI,61095.0,2177.0,3439,1388,Low
CUST100050,31.0,Male,California,Medium,2,TXN500050,2023-02-19,4039.0,Groceries,Paid,Debit Card,61593.0,43323.0,2530,2230,High
CUST100051,67.0,Male,Texas,Medium,2,TXN500051,2023-04-07,4380.0,Groceries,Paid,Debit Card,25262.0,14316.0,1864,2080,Low
CUST100052,26.0,Female,Arizona,Low,9,TXN500052,2023-03-11,851.0,Travel,Paid,Bank Transfer,6832.0,46105.0,1498,2069,Low
CUST100053,43.0,Male,California,Low,14,TXN500053,2022-02-19,169.0,Health,Paid,Credit Card,98252.0,9960.0,4019,2011,Low
CUST100054,19.0,Female,Illinois,Medium,12,TXN500054,2023-08-12,4019.0,Travel,Paid,Bank Transfer,46053.0,62259.0,2395,1655,Low
CUST100055,37.0,Male,Washington,Low,14,TXN500055,2023-03-20,3825.0,Retail,Paid,Debit Card,28572.0,11089.0,709,751,Low
CUST100056,45.0,Female,Ohio,Medium,6,TXN500056,2023-02-12,4882.0,Retail,Paid,Credit Card,49676.0,79099.0,414,3856,Medium
CUST100057,64.0,Male,Washington,Medium,1,TXN500057,2023-10-06,2933.0,Groceries,Paid,UPI,85251.0,36296.0,616,2641,Medium
CUST100058,24.0,Female,New York,Medium,9,TXN500058,2023-02-24,3776.0,Utilities,Paid,UPI,30176.0,78484.0,2234,3437,Low
CUST100059,61.0,Male,Oregon,Medium,4,TXN500059,2022-05-26,1422.0,Health,Paid,Credit Card,26844.0,34757.0,4476,3026,Low
CUST100060,25.0,Female,Georgia,Medium,6,TXN500060,2022-08-23,1888.0,Retail,Paid,UPI,58000.0,4381.0,4018,1792,Low
CUST100061,64.0,Female,Florida,Medium,12,TXN500061,2022-01-28,2865.0,Online Shopping,Defaulted,Credit Card,83757.0,72483.0,691,3790,Low
CUST100062,52.0,Male,Washington,Medium,2,TXN500062,2022-12-17,3192.0,Utilities,Late,Credit Card,7678.0,66563.0,44,2909,Medium
CUST100063,31.0,Male,Georgia,High,1,TXN500063,2022-09-12,4696.0,Online Shopping,Paid,Bank Transfer,31733.0,62666.0,3941,3581,Medium
CUST100064,34.0,Male,Illinois,High,5,TXN500064,2023-09-15,280.0,Online Shopping,Paid,Bank Transfer,95658.0,35975.0,958,1244,Low
CUST100065,53.0,Male,Illinois,High,3,TXN500065,2022-06-22,2583.0,Retail,Defaulted,Credit Card,46462.0,52010.0,4675,2110,Medium
CUST100066,67.0,Male,New York,Medium,9,TXN500066,2023-01-04,1101.0,Retail,Paid,Debit Card,49753.0,51727.0,505,2427,Low
CUST100067,57.0,Male,Oregon,Low,8,TXN500067,2022-05-27,4024.0,Utilities,Paid,UPI,26600.0,76312.0,2107,3874,High
CUST100068,21.0,Female,Ohio,High,14,TXN500068,2022-07-30,2058.0,Health,Late,Bank Transfer,26321.0,33004.0,875,3999,Low
CUST100069,19.0,Male,California,Medium,10,TXN500069,2022-12-22,4556.0,Entertainment,Paid,UPI,34829.0,39838.0,3607,3172,Low
CUST100070,23.0,Male,Washington,Low,2,TXN500070,2022-06-20,270.0,Health,Paid,Debit Card,69296.0,73918.0,371,3410,Medium
CUST100071,59.0,Male,Oregon,Medium,8,TXN500071,2022-02-26,2180.0,Retail,Paid,Credit Card,14834.0,30676.0,550,3685,Medium
CUST100072,21.0,Female,Florida,Medium,11,TXN500072,2023-02-05,3834.0,Retail,Paid,Bank Transfer,25885.0,30220.0,686,3512,Low
CUST100073,46.0,Male,Georgia,High,3,TXN500073,2022-05-07,2190.0,Health,Paid,Debit Card,85827.0,58960.0,1790,2299,High
CUST100074,35.0,Female,Georgia,Medium,12,TXN500074,2023-03-02,1941.0,Retail,Paid,Debit Card,56183.0,45467.0,4548,2385,High
CUST100075,43.0,Female,Georgia,Medium,9,TXN500075,2023-09-12,2687.0,Retail,Late,Debit Card,33624.0,3442.0,2492,3916,Medium
CUST100076,61.0,Female,Texas,Low,11,TXN500076,2022-10-22,2631.0,Travel,Late,Debit Card,31696.0,42591.0,1574,3868,Low
CUST100077,51.0,Male,Georgia,High,14,TXN500077,2023-04-27,3937.0,Groceries,Paid,Credit Card,63958.0,44333.0,104,1468,Low
CUST100078,27.0,Female,Illinois,High,10,TXN500078,2023-09-02,,Utilities,Late,Bank Transfer,26064.0,35655.0,4237,2109,High
CUST100079,53.0,Male,Georgia,Medium,5,TXN500079,2022-09-26,685.0,Online Shopping,Paid,Bank Transfer,65744.0,19366.0,3374,974,Medium
CUST100080,31.0,Female,Florida,High,11,TXN500080,2022-12-17,1138.0,Groceries,Paid,Credit Card,68523.0,71069.0,1088,2697,Medium
CUST100081,48.0,Female,Washington,Low,8,TXN500081,2022-06-30,1302.0,Groceries,Paid,Bank Transfer,35864.0,74242.0,834,1393,Medium
CUST100082,65.0,Female,Florida,Medium,6,TXN500082,2022-09-07,1290.0,Travel,Paid,Credit Card,13190.0,19518.0,2719,2594,Medium
CUST100083,32.0,Other,Illinois,Low,10,TXN500083,2022-02-03,1587.0,Entertainment,Late,UPI,38534.0,50960.0,2006,2115,Low
CUST100084,25.0,Female,Arizona,Medium,14,TXN500084,2023-08-02,3285.0,Travel,Paid,Bank Transfer,44430.0,50339.0,2563,3334,Low
CUST100085,31.0,Male,Georgia,Medium,9,TXN500085,2023-05-03,359.0,Food,Paid,Debit Card,7361.0,33583.0,4111,1802,Medium
CUST100086,40.0,Male,California,High,8,TXN500086,2023-07-19,859.0,Entertainment,Paid,Credit Card,41794.0,55508.0,1174,88,Low
CUST100087,57.0,Female,Georgia,High,7,TXN500087,2022-07-16,2237.0,Utilities,Paid,Credit Card,11410.0,57088.0,181,3595,Medium
CUST100088,38.0,Female,Georgia,Medium,11,TXN500088,2022-11-01,3584.0,Health,Paid,Bank Transfer,41715.0,77377.0,1854,1203,Low
CUST100089,33.0,Female,Ohio,Low,10,TXN500089,2022-03-17,2370.0,Online Shopping,Paid,Credit Card,30739.0,51066.0,774,2447,Medium
CUST100090,62.0,Female,California,Medium,5,TXN500090,2023-06-03,4974.0,Travel,Paid,UPI,73249.0,36233.0,1540,2554,Low
CUST100091,35.0,Male,Washington,High,3,TXN500091,2022-09-10,3593.0,Online Shopping,Paid,Bank Transfer,58468.0,32743.0,2179,3819,Medium
CUST100092,64.0,Female,Ohio,Medium,5,TXN500092,2022-07-19,2806.0,Online Shopping,Paid,Debit Card,40562.0,5927.0,2057,940,Low
CUST100093,41.0,Female,NEW YORK,Low,12,TXN500093,2023-06-29,1048.0,Utilities,Paid,Debit Card,35391.0,27374.0,3891,2423,Low
CUST100094,43.0,Male,Texas,Low,1,TXN500094,2022-09-09,4405.0,Travel,Paid,Credit Card,75149.0,15726.0,1163,3895,Medium
CUST100095,42.0,Male,Florida,High,8,TXN500095,2022-02-16,2050.0,Health,Late,UPI,87902.0,25313.0,2215,1872,Medium
CUST100096,62.0,Female,Arizona,Medium,7,TXN500096,2022-07-04,1963.0,Entertainment,Late,UPI,24017.0,17889.0,3508,2374,High
CUST100097,58.0,Female,Arizona,Medium,3,TXN500097,2023-11-18,406.0,Travel,Paid,UPI,90621.0,14433.0,2046,1413,Low
CUST100098,46.0,Female,Washington,Low,10,TXN500098,2023-05-16,2391.0,Entertainment,Paid,UPI,25442.0,31690.0,1845,3288,Low
CUST100099,32.0,Male,Georgia,Medium,7,TXN500099,2023-08-01,1169.0,Health,Paid,UPI,20082.0,60758.0,2591,2080,Low
CUST100100,62.0,Male,Ohio,High,6,TXN500100,2023-07-10,2715.0,Entertainment,Paid,UPI,7774.0,25941.0,4070,2699,Low
CUST100101,18.0,Female,Arizona,Medium,13,TXN500101,2022-04-02,1484.0,Groceries,Paid,Bank Transfer,42106.0,72226.0,1489,432,Low
CUST100102,42.0,Female,Ohio,Medium,10,TXN500102,2023-05-10,1375.0,Online Shopping,Paid,Bank Transfer,97164.0,51261.0,4116,3037,Low
CUST100103,24.0,Male,Arizona,Medium,14,TXN500103,2023-02-28,3185.0,Online Shopping,Paid,Debit Card,99159.0,29282.0,2975,1907,Low
CUST100104,26.0,Female,Oregon,Medium,14,TXN500104,2023-11-02,3236.0,Online Shopping,Defaulted,Debit Card,86352.0,36394.0,631,2246,Medium
CUST100105,41.0,Female,Illinois,Medium,6,TXN500105,2022-08-16,1232.0,Travel,Paid,Debit Card,49559.0,62656.0,3103,2931,Low
CUST100106,18.0,Female,Texas,Medium,14,TXN500106,2023-09-09,4082.0,Online Shopping,Paid,Credit Card,86232.0,1487.0,712,2745,Medium
CUST100107,61.0,Female,New York,Low,1,TXN500107,2022-01-15,3002.0,Groceries,Paid,Debit Card,80559.0,55135.0,1041,1500,Medium
CUST100108,25.0,Male,California,Low,6,TXN500108,2022-03-21,4303.0,Utilities,Paid,Debit Card,92003.0,64824.0,546,1192,Medium
CUST100109,,Female,Georgia,Medium,3,TXN500109,2022-12-21,4444.0,Food,Paid,Debit Card,71785.0,76718.0,2556,2032,High
CUST100110,28.0,Male,California,Medium,6,TXN500110,2022-12-29,4210.0,Groceries,Paid,Credit Card,6181.0,18896.0,3041,1623,Low
CUST100111,68.0,Female,Oregon,Medium,5,TXN500111,2022-06-14,1287.0,Utilities,Paid,Credit Card,78254.0,67858.0,2978,3770,Low
CUST100112,34.0,Male,New York,Medium,13,TXN500112,2022-12-30,3161.0,utilities,Paid,UPI,,28840.0,2750,3056,Low
CUST100113,25.0,Female,Florida,Medium,1,TXN500113,2023-06-03,4026.0,Utilities,Paid,Debit Card,23375.0,39926.0,2760,2189,Low
CUST100114,52.0,Female,Washington,Medium,5,TXN500114,2022-10-31,3413.0,Food,Paid,UPI,96373.0,3199.0,2124,917,Low
CUST100115,52.0,Female,Washington,Medium,13,TXN500115,2022-02-19,3603.0,Groceries,Paid,Bank Transfer,49788.0,50107.0,4707,2514,Low
CUST100116,50.0,Female,Florida,Medium,4,TXN500116,2022-01-04,4588.0,Entertainment,Paid,Credit Card,44854.0,70118.0,4062,246,Medium
CUST100117,22.0,Male,Florida,Medium,11,TXN500117,2022-06-14,3892.0,Utilities,Paid,UPI,6454.0,36357.0,1355,1001,Low
CUST100118,59.0,Female,Florida,Medium,10,TXN500118,2022-01-31,3281.0,Groceries,Paid,UPI,56414.0,47605.0,2125,171,Low
CUST100119,56.0,Male,New York,Low,3,TXN500119,2022-08-08,983.0,Health,Paid,UPI,34934.0,65515.0,3388,1277,Low
CUST100120,58.0,Male,Texas,Medium,8,TXN500120,2023-04-22,4498.0,Food,Paid,Credit Card,79419.0,31407.0,1263,2059,High
CUST100121,45.0,Other,Texas,High,3,TXN500121,2022-01-01,2504.0,Health,Paid,Debit Card,21875.0,46381.0,4223,63,Medium
CUST100122,24.0,Female,Illinois,Medium,9,TXN500122,2023-06-03,3632.0,Travel,Defaulted,Credit Card,14803.0,6847.0,2567,268,Medium
CUST100123,26.0,Female,Washington,Low,4,TXN500123,2023-02-02,3097.0,Online Shopping,Paid,UPI,18321.0,18256.0,1651,3748,Low
CUST100124,25.0,Female,Illinois,High,9,TXN500124,2022-05-27,2003.0,Utilities,Paid,Credit Card,6740.0,16904.0,2847,2178,Medium
CUST100125,29.0,Female,Florida,Medium,4,TXN500125,2022-03-28,112.0,Retail,Paid,UPI,41029.0,54120.0,2230,3483,Medium
CUST100126,51.0,Female,Georgia,High,4,TXN500126,2023-09-24,462.0,Retail,Paid,Debit Card,54724.0,68795.0,1704,948,Low
CUST100127,50.0,Female,New York,High,5,TXN500127,2022-01-01,3119.0,Groceries,Paid,Credit Card,74147.0,76727.0,1120,2867,Medium
CUST100128,65.0,Other,Ohio,High,4,TXN500128,2022-09-29,3787.0,Utilities,Paid,Bank Transfer,90280.0,29871.0,1363,1606,Low
CUST100129,40.0,Male,Oregon,Low,2,TXN500129,2023-02-09,124.0,Travel,Paid,Bank Transfer,39855.0,63535.0,3624,2114,Low
CUST100130,41.0,Female,California,High,10,TXN500130,2022-08-13,4524.0,Entertainment,Paid,UPI,53300.0,75133.0,2629,601,Low
CUST100131,54.0,Female,Oregon,Low,13,TXN500131,2022-12-21,3921.0,Health,Paid,Debit Card,66120.0,8139.0,1675,912,Low
CUST100132,52.0,Male,Georgia,Low,8,TXN500132,2022-11-18,4373.0,Travel,Paid,Bank Transfer,96130.0,48200.0,3634,2623,Low
CUST100133,61.0,Male,Georgia,Low,11,TXN500133,2023-05-30,4715.0,Food,Paid,UPI,92622.0,70429.0,1005,2327,Medium
CUST100134,57.0,Other,Florida,High,7,TXN500134,2022-07-08,659.0,Travel,Paid,Debit Card,12957.0,75838.0,4838,1041,High
CUST100135,39.0,Male,Arizona,High,8,TXN500135,2022-12-24,766.0,Retail,Paid,UPI,82367.0,69613.0,4008,156,High
CUST100136,44.0,Male,Illinois,Medium,3,TXN500136,2022-12-31,1909.0,Utilities,Paid,Bank Transfer,53176.0,28241.0,1028,621,Low
CUST100137,52.0,Female,Ohio,Medium,5,TXN500137,2022-12-27,2261.0,Utilities,Paid,UPI,80214.0,2372.0,1137,1751,Low
CUST100138,18.0,Male,Ohio,Medium,4,TXN500138,2022-10-10,4026.0,Retail,Paid,Credit Card,58639.0,49754.0,185,1458,Low
CUST100139,52.0,Female,Washington,Medium,12,TXN500139,2022-10-01,3167.0,Health,Paid,Bank Transfer,34559.0,15782.0,2931,3346,Low
CUST100140,54.0,Male,Arizona,Medium,5,TXN500140,2023-01-06,2450.0,Utilities,Paid,UPI,73250.0,51393.0,1213,562,Low
CUST100141,64.0,Male,Illinois,High,8,TXN500141,2022-09-29,582.0,Utilities,Paid,Debit Card,54021.0,13878.0,4535,1463,Low
CUST100142,31.0,Female,Arizona,Medium,13,TXN500142,2022-05-03,1915.0,Travel,Late,Bank Transfer,64647.0,45630.0,2135,2398,Low
CUST100143,20.0,Male,Florida,Medium,10,TXN500143,2022-06-25,1901.0,Travel,Paid,Debit Card,32919.0,45072.0,2882,2662,Low
CUST100144,18.0,Female,Washington,Medium,14,TXN500144,2022-06-08,4404.0,Food,Paid,Bank Transfer,34998.0,51837.0,733,3291,Medium
CUST100145,22.0,Female,Arizona,Low,11,TXN500145,2022-11-29,1248.0,Retail,Defaulted,Bank Transfer,79147.0,46368.0,856,14,Low
CUST100146,43.0,Female,Washington,High,14,TXN500146,2023-10-28,1346.0,Food,Late,Bank Transfer,30746.0,77751.0,4888,1861,Low
CUST100147,31.0,Female,Texas,Low,5,TXN500147,2023-03-13,4934.0,Retail,Late,UPI,67549.0,14827.0,797,3888,Low
CUST100148,56.0,Male,California,Medium,10,TXN500148,2023-07-31,546.0,Entertainment,Paid,UPI,23596.0,66931.0,2281,1591,High
CUST100149,44.0,Male,New York,Medium,9,TXN500149,2023-05-02,4048.0,Health,Late,Bank Transfer,92368.0,23274.0,2339,1824,Low
CUST100150,26.0,Male,New York,Medium,14,TXN500150,2022-08-09,581.0,Entertainment,Paid,Credit Card,36600.0,13256.0,2986,3881,Medium
CUST100151,32.0,Male,Florida,Medium,2,TXN500151,2023-01-27,4772.0,Groceries,Late,Debit Card,64821.0,75248.0,4169,1211,Low
CUST100152,32.0,Female,Arizona,Low,5,TXN500152,2022-05-30,4371.0,Entertainment,Paid,UPI,73882.0,63591.0,4194,220,Low
CUST100153,43.0,Male,California,Low,2,TXN500153,2022-12-17,2800.0,Utilities,Late,UPI,45235.0,25097.0,2139,1915,Medium
CUST100154,59.0,Female,Texas,High,11,TXN500154,2023-03-22,1661.0,Health,Late,Debit Card,62992.0,47712.0,4550,1741,Medium
CUST100155,30.0,Male,Texas,Low,3,TXN500155,2023-01-17,3125.0,Food,Late,Debit Card,82501.0,48716.0,3294,1335,Low
CUST100156,68.0,Female,Georgia,Medium,2,TXN500156,2022-11-13,1806.0,Online Shopping,Paid,Bank Transfer,80124.0,62025.0,4838,2928,Low
CUST100157,49.0,Male,Ohio,High,7,TXN500157,2022-06-19,3934.0,Health,Paid,UPI,16884.0,25978.0,1544,466,High
CUST100158,56.0,Male,Illinois,High,14,TXN500158,2022-05-15,1520.0,Travel,Defaulted,Credit Card,40064.0,27657.0,432,1689,Medium
CUST100159,66.0,Female,Oregon,Low,13,TXN500159,2022-09-23,3900.0,Entertainment,Paid,Credit Card,56196.0,62628.0,3565,1923,Low
CUST100160,69.0,Female,Florida,Medium,3,TXN500160,2022-03-28,4308.0,Health,Paid,UPI,71700.0,13930.0,990,3169,Low
CUST100161,49.0,Female,Arizona,Low,11,TXN500161,2022-03-17,2177.0,Groceries,Paid,Bank Transfer,93804.0,3302.0,3995,1527,Low
CUST100162,,Female,Texas,Medium,4,TXN500162,2023-06-07,3400.0,Groceries,Paid,Credit Card,69330.0,72797.0,191,2088,Low
CUST100163,47.0,Female,Georgia,Low,12,TXN500163,2022-10-10,2895.0,Online Shopping,Paid,Debit Card,62505.0,33172.0,1566,3964,Low
CUST100164,54.0,Female,Georgia,Medium,6,TXN500164,2022-08-07,1034.0,Travel,Paid,UPI,63697.0,76849.0,45,310,Low
CUST100165,40.0,Male,California,Low,9,TXN500165,2022-06-19,626.0,Health,Defaulted,Bank Transfer,86397.0,33521.0,1245,2341,Medium
CUST100166,56.0,Male,Oregon,Medium,2,TXN500166,2023-03-29,2951.0,Food,Late,UPI,44563.0,48615.0,3964,47,Low
CUST100167,62.0,Female,Washington,Medium,6,TXN500167,2022-11-11,385.0,Food,Late,Credit Card,19307.0,20318.0,4052,2153,Low
CUST100168,32.0,Male,New York,Medium,7,TXN500168,2023-04-20,2864.0,Travel,Paid,UPI,45605.0,15795.0,2429,2529,Low
CUST100169,60.0,Male,California,High,2,TXN500169,2022-11-17,3751.0,Retail,Paid,Bank Transfer,84919.0,69714.0,1870,809,High
CUST100170,46.0,Male,California,Medium,10,TXN500170,2023-04-03,2246.0,Food,Paid,Credit Card,88632.0,27412.0,1147,3978,Low
CUST100171,53.0,Male,Washington,High,8,TXN500171,2023-08-01,1574.0,Entertainment,Paid,Bank Transfer,93803.0,23295.0,4650,1075,Medium
CUST100172,30.0,Female,Texas,Medium,8,TXN500172,2022-08-16,4794.0,Groceries,Paid,UPI,81295.0,44690.0,3478,2441,Low
CUST100173,49.0,Male,Georgia,Medium,5,TXN500173,2023-01-17,3765.0,Food,Paid,Credit Card,62546.0,70490.0,1355,1141,High
CUST100174,24.0,Male,Arizona,Medium,10,TXN500174,2023-06-08,549.0,Health,Paid,UPI,43814.0,56212.0,3823,3564,Medium
CUST100175,68.0,Male,Ohio,Medium,14,TXN500175,2022-12-01,1234.0,Online Shopping,Paid,Bank Transfer,51350.0,39986.0,2925,2945,Low
CUST100176,39.0,Female,California,Medium,5,TXN500176,2023-04-25,213.0,Travel,Paid,Debit Card,56934.0,64787.0,3388,2979,Low
CUST100177,45.0,Female,Oregon,High,7,TXN500177,2022-03-14,4496.0,Health,Paid,Debit Card,14340.0,67528.0,1297,1290,Medium
CUST100178,19.0,Male,Oregon,Low,11,TXN500178,2023-01-13,325.0,Entertainment,Paid,Credit Card,48328.0,72228.0,4406,1263,Low
CUST100179,59.0,Female,Georgia,Medium,13,TXN500179,2023-10-23,1675.0,Food,Paid,Credit Card,99933.0,816.0,3302,3816,Low
CUST100180,62.0,Male,Florida,Medium,12,TXN500180,2022-09-23,3779.0,Entertainment,Paid,Debit Card,84300.0,26633.0,3062,211,Low
CUST100181,23.0,Female,New York,Low,13,TXN500181,2023-05-26,1163.0,Travel,Paid,Bank Transfer,91135.0,69628.0,2872,3122,Low
CUST100182,45.0,Female,Washington,Low,10,TXN500182,2022-09-25,2062.0,Health,Paid,Credit Card,77707.0,30677.0,3594,3603,Medium
CUST100183,45.0,Other,Oregon,Medium,3,TXN500183,2023-01-03,4146.0,Utilities,Late,UPI,49826.0,2183.0,2975,1585,Low
CUST100184,61.0,Male,Washington,Medium,1,TXN500184,2022-05-21,4346.0,Travel,Paid,Bank Transfer,95944.0,62005.0,4523,3230,Low
CUST100185,61.0,Male,CALIFORNIA,Low,10,TXN500185,2022-01-27,4208.0,Travel,Paid,UPI,23359.0,24880.0,3620,2205,Low
CUST100186,37.0,Male,Georgia,Medium,4,TXN500186,2022-07-29,4889.0,Online Shopping,Paid,UPI,31488.0,53360.0,1030,792,High
